title,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.print_headline,byline.original
Ash Is Purest White,"Crime, Romance, Drama",Mandarin,"France, Japan, China",https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,"In Jia Zhangke’s enthralling new feature, Zhao Tao and Liao Fan portray an underworld power couple at the mercy of time and fate.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Jia Zhang Ke, rank: 2, major: N, name: persons, value: Liao Fan (1974- ), rank: 3, major: N, name: persons, value: Zhao Tao (1977- ), rank: 4, major: N, name: creative_works, value: Ash Is Purest White (Movie), rank: 5, major: N",2019-03-13T15:44:46+0000,911,‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,"Gangsters’ Paradise Lost, in China",By A.O. Scott
Gloria Bell,"Drama, Romance",English,"Chile, United States of America",https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Gloria Bell (Movie), rank: 2, major: N, name: persons, value: Moore, Julianne, rank: 3, major: N, name: persons, value: Turturro, John, rank: 4, major: N, name: persons, value: Lelio, Sebastian, rank: 5, major: N",2019-03-07T18:49:47+0000,991,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,"Love, and Some Laughter, Is in the Air",By Manohla Dargis
Black Mother,Documentary,English,"Jamaica, United States of America",https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: persons, value: Allah, Khalik (1985- ), rank: 2, major: N, name: creative_works, value: Black Mother (Movie), rank: 3, major: N",2019-03-06T18:30:16+0000,380,‘Black Mother’ Review: Exploring the Roots of Life Itself,"Exploring the Roots of Life Itself, With Love",By Glenn Kenny
The Hole in the Ground,Horror,English,"United Kingdom, Finland, Ireland",https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,"Something strange is going on in the Irish countryside, and it’s not just the giant roiling pit of dirt.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Hole in the Ground (Movie), rank: 2, major: N, name: persons, value: Cronin, Lee (Film Director), rank: 3, major: N",2019-02-28T12:00:09+0000,291,‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,The Hole  in the Ground,By Teo Bugbee
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",English,United States of America,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: DeBlois, Dean, rank: 2, major: N, name: persons, value: Baruchel, Jay, rank: 3, major: N, name: persons, value: ABRAHAM, F MURRAY, rank: 4, major: N, name: persons, value: Ferrera, America, rank: 5, major: N, name: creative_works, value: How to Train Your Dragon: The Hidden World (Movie), rank: 6, major: N",2019-02-21T00:02:36+0000,531,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,Love Takes Wing Amid Trouble in Utopia,By Ben Kenigsberg
Sorry Angel,"Comedy, Drama, Romance","Spanish, French",France,https://www.nytimes.com/2019/02/12/movies/sorry-angel-review.html,"Set in early 1990s Paris, Christophe Honoré’s new film presents us with a middle-aged, H.I.V.-stricken writer falling, wearily, for a bookish 20-something.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Sorry Angel (Movie), rank: 2, major: N, name: persons, value: Honore, Christophe, rank: 3, major: N",2019-02-12T21:46:52+0000,491,"‘Sorry Angel’ Review: A Love Affair Two Men Start, Knowing the End",Attraction: That’s the Easy Part,By Glenn Kenny
"Berlin, I Love You",Drama,"English, German","Germany, United States of America",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Berlin, I Love You (Movie), rank: 2, major: N, name: persons, value: Agron, Dianna, rank: 3, major: N, name: persons, value: Knightley, Keira, rank: 4, major: N, name: persons, value: Luna, Diego, rank: 5, major: N, name: persons, value: Mirren, Helen, rank: 6, major: N, name: persons, value: Rourke, Mickey, rank: 7, major: N, name: persons, value: Wilson, Luke, rank: 8, major: N",2019-02-07T12:00:01+0000,227,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling","Berlin, I Love You",By Glenn Kenny
Untogether,"Comedy, Drama",English,United States of America,https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Dornan, Jamie, rank: 2, major: N, name: persons, value: Kirke, Jemima, rank: 3, major: N, name: persons, value: Kirke, Lola, rank: 4, major: N, name: creative_works, value: Untogether (Movie), rank: 5, major: N, name: persons, value: Forrest, Emma, rank: 6, major: N",2019-02-07T12:00:01+0000,269,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",Untogether,By Jeannette Catsoulis
Cold War,"Drama, Romance, War, Music","German, Croatian, French, Italian, Polish, Russian","France, Poland, United Kingdom",https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,"In post-World War II Poland, a singer and a piano player find each other, fall in love and soon end up on opposite sides of history.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Cold War (Movie), rank: 2, major: N, name: persons, value: Pawlikowski, Pawel, rank: 3, major: N, name: persons, value: Kot, Tomasz, rank: 4, major: N, name: persons, value: Kulesza, Agata, rank: 5, major: N, name: persons, value: Szyc, Borys, rank: 6, major: N, name: persons, value: Kulig, Joanna, rank: 7, major: N",2018-12-20T17:09:56+0000,981,‘Cold War’ Review: Love Without Borders,A Resonating Love Shall Guide You,By Manohla Dargis
If Beale Street Could Talk,"Romance, Drama",English,United States of America,https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: If Beale Street Could Talk (Movie), rank: 2, major: N, name: persons, value: Jenkins, Barry, rank: 3, major: N, name: persons, value: Baldwin, James (1924-87), rank: 4, major: N, name: persons, value: James, Stephan (1993- ), rank: 5, major: N, name: persons, value: Layne, KiKi, rank: 6, major: N, name: persons, value: Wittrock, Finn, rank: 7, major: N",2018-12-12T21:30:02+0000,1057,‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,Love Is Forced to Live in a Nightmare,By Manohla Dargis
Asher,"Thriller, Action, Drama",English,United States of America,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Asher (Movie), rank: 2, major: N, name: persons, value: Caton-Jones, Michael, rank: 3, major: N, name: persons, value: Perlman, Ron, rank: 4, major: N, name: persons, value: Janssen, Famke, rank: 5, major: N",2018-12-06T12:00:04+0000,259,‘Asher’ Review: An Aging Hit Man Finds Love,Asher,By Glenn Kenny
Sicilian Ghost Story,"Mystery, Drama, Fantasy",Italian,"France, Italy, Switzerland",https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,"Flipping from bucolic to brutal with distressing ease, this beautifully realized movie views a Mafia kidnapping through the prism of first love.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Sicilian Ghost Story (Movie), rank: 2, major: N, name: persons, value: Grassadonia, Fabio, rank: 3, major: N, name: persons, value: Piazza, Antonio, rank: 4, major: N",2018-11-29T12:00:06+0000,258,‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,Love in an Enchanted Forest Turns Eerie,By Jeannette Catsoulis
The New Romantic,"Drama, Comedy",English,Canada,https://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html,A college newspaper columnist writes about her experiences trading gifts for sex in a film that squanders its good will.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The New Romantic (Movie), rank: 2, major: N, name: persons, value: Barden, Jessica (1992- ), rank: 3, major: N, name: persons, value: Stone, Carly (Film Director), rank: 4, major: N",2018-11-08T12:05:01+0000,269,‘The New Romantic’ Review: Experiments With Love and Money,The New Romantic,By Teo Bugbee
In a Relationship,"Drama, Comedy, Romance",English,"Mexico, United States of America",https://www.nytimes.com/2018/11/08/movies/in-a-relationship-review.html,"Sam Boyd’s gentle, loose-limbed romantic comedy wins no prizes for originality.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Roberts, Emma (1991- ), rank: 2, major: N, name: persons, value: ANGARANO, MICHAEL, rank: 3, major: N, name: persons, value: Hemingway, Dree (1987- ), rank: 4, major: N, name: creative_works, value: In a Relationship (Movie), rank: 5, major: N, name: persons, value: Boyd, Sam (Film Director), rank: 6, major: N",2018-11-08T12:00:01+0000,253,‘In a Relationship’ Review: Two Couples at Opposite Stages of Love,In a Relationship,By Jeannette Catsoulis
How to Talk to Girls at Parties,"Comedy, Music, Romance, Science Fiction",English,"United Kingdom, United States of America",https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,John Cameron Mitchell’s loony romantic comedy encourages young love to bloom in the soil of an alien visitation.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: How to Talk to Girls at Parties (Movie), rank: 2, major: N, name: persons, value: Mitchell, John Cameron, rank: 3, major: N, name: persons, value: Fanning, Elle, rank: 4, major: N, name: persons, value: Sharp, Alexander, rank: 5, major: N",2018-05-24T11:00:01+0000,458,Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,Otherworldly Love in a Punk-Rock World,By Jeannette Catsoulis
Godard Mon Amour,"Drama, Romance, Comedy","Czech, French, English, Italian","Myanmar, France",https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,A portrait of a filmmaker in crisis that might have worked better as a comedy sketch.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Godard Mon Amour (Movie), rank: 2, major: N, name: persons, value: Hazanavicius, Michel, rank: 3, major: N, name: persons, value: Godard, Jean-Luc, rank: 4, major: N, name: persons, value: Wiazemsky, Anne, rank: 5, major: N, name: persons, value: Garrel, Louis, rank: 6, major: N",2018-04-18T23:02:46+0000,937,"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’","A Portrait and, for Some, a Hate-Watch",By A.O. Scott
Outside In,Drama,English,United States of America,https://www.nytimes.com/2018/03/29/movies/outside-in-review-jay-duplass-edie-falco.html,Edie Falco and Jay Duplass connect romantically in this life-after-prison drama that prioritizes patience and pragmatism over passion.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Outside In (Movie), rank: 2, major: N, name: persons, value: Shelton, Lynn, rank: 3, major: N, name: persons, value: Duplass, Jay, rank: 4, major: N, name: persons, value: Falco, Edie, rank: 5, major: N, name: persons, value: Dever, Kaitlyn, rank: 6, major: N",2018-03-29T11:00:01+0000,422,Review: On Parole and in Love in ‘Outside In’,On Parole and in Love,By Jeannette Catsoulis
Lover for a Day,"Drama, Romance",French,France,https://www.nytimes.com/2018/01/11/movies/lover-for-a-day-review-philippe-garrel.html,"In Philippe Garrel’s drama, a 23-year-old woman moves in with her father and his 23-year-old girlfriend. Complications ensue.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Lover for a Day (Movie), rank: 2, major: N, name: persons, value: Garrel, Philippe, rank: 3, major: N",2018-01-11T16:20:53+0000,863,Review: A Man and a Woman (and Another Woman) in ‘Lover for a Day’,A Love Triangle With Angles That Are Awkward,By Manohla Dargis
The Mountain Between Us,"Drama, Adventure, Romance",English,United States of America,https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Mountain Between Us (Movie), rank: 2, major: N, name: persons, value: ABU-ASSAD, HANY, rank: 3, major: N, name: persons, value: Elba, Idris, rank: 4, major: N, name: persons, value: Winslet, Kate, rank: 5, major: N",2017-10-05T11:00:05+0000,272,Review: Love in a Cold Climate in ‘The Mountain Between Us’,The Mountain Between Us,By Jeannette Catsoulis
In Search of Fellini,"Drama, Adventure",English,,https://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html,A sheltered young woman enamored of the films of the famous director sets off to Italy to meet him.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: In Search of Fellini (Movie), rank: 2, major: N, name: persons, value: Cartwright, Nancy, rank: 3, major: N, name: persons, value: Solo, Ksenia, rank: 4, major: N, name: persons, value: Lexton, Taron, rank: 5, major: N",2017-09-14T11:00:24+0000,272,Review: Love of Il Maestro Drives ‘In Search of Fellini’,In Search of Fellini,By Monica Castillo
The Last Face,Drama,"English, Portuguese",United States of America,https://www.nytimes.com/2017/07/27/movies/the-last-face-review-charlize-theron-sean-penn.html,"In war-torn Liberia, Charlize Theron and Javier Bardem face a big problem: how to keep their knotty relationship from fizzling.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Last Face (Movie), rank: 2, major: N, name: persons, value: Penn, Sean, rank: 3, major: N, name: persons, value: Bardem, Javier, rank: 4, major: N, name: persons, value: Theron, Charlize, rank: 5, major: N",2017-07-27T20:29:01+0000,280,Review: Aid Workers in Love and War in Sean Penn’s ‘The Last Face’,The Last Face,By Glenn Kenny
Lost in Paris,Comedy,French,"Belgium, France",https://www.nytimes.com/2017/06/15/movies/lost-in-paris-review.html,"The filmmakers Fiona Gordon and Dominique Abel star in their fourth movie, a tale infused with physical comedy about a woman in search of her aunt.",The New York Times,"name: creative_works, value: Lost in Paris (Movie), rank: 1, major: N, name: subject, value: Movies, rank: 2, major: N, name: persons, value: Abel, Dominique, rank: 3, major: N, name: persons, value: Gordon, Fiona, rank: 4, major: N, name: persons, value: Riva, Emmanuelle, rank: 5, major: N",2017-06-15T19:37:09+0000,254,Review: Finding Love (and Slapstick) While ‘Lost in Paris’,Lost in Paris,By Ben Kenigsberg
The Other Half,"Drama, Romance",English,Canada,https://www.nytimes.com/2017/03/09/movies/the-other-half-review-tatiana-maslany.html,This moody romance stars Tatiana Maslany (“Orphan Black”) as a bipolar painter in love with a brooding cabby (Tom Cullen of “Downton Abbey”).,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Other Half (Movie), rank: 2, major: N, name: persons, value: Maslany, Tatiana, rank: 3, major: N, name: persons, value: Cullen, Tom (1985- ), rank: 4, major: N, name: persons, value: Klein, Joey (Film Director), rank: 5, major: N",2017-03-09T21:54:58+0000,251,Review: A Combustible Pair Find Love in ‘The Other Half’,Review: A Combustible Pair Find Love in ‘The Other Half’,By Andy Webster
The Ottoman Lieutenant,"Romance, Drama, War","Turkish, English","Turkey, United States of America",https://www.nytimes.com/2017/03/09/movies/review-the-ottoman-lieutenant.html,A nurse travels to the Ottoman Empire on the eve of World War I. Can romance blossom amid earthshaking events?,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Ottoman Lieutenant (Movie), rank: 2, major: N, name: persons, value: Ruben, Joseph, rank: 3, major: N, name: persons, value: Hartnett, Josh, rank: 4, major: N, name: persons, value: Stockwell, Jeff (1958- ), rank: 5, major: N, name: persons, value: Hilmar, Hera, rank: 6, major: N, name: persons, value: Huisman, Michiel, rank: 7, major: N",2017-03-09T21:53:12+0000,267,"Review: Love as the World Wars, in ‘The Ottoman Lieutenant’","Review: Love as the World Wars, in ‘The Ottoman Lieutenant’",By Neil Genzlinger
